id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
6385215,"2BRM  with Parking - near Harvard & Porter Sq",22200553,2,110.00,5,93,7
6397721,"Lux Kendall Square 1 Bedroom w/gym, WiFi",9419684,2,129.00,5,96,5
6404336,"Private Entrance Room in Cambridge",33401056,1,70.00,5,99,12
6432362,"Top floor apt with deck-brand new kitchen!",294279,5,310.00,4,90,4
6434394,"2BR Walk to Harvard/MIT/Red Line T",24415419,4,249.00,4,86,11
6473781,"Single family house / Cambridgeport",33820072,5,550.00,5,95,4
6635782,"Harvard Square: Historic & Cheerful",34732627,5,307.00,5,98,1
6660580,"Warm and welcoming",34862036,1,88.00,5,98,6
6662157,"Sunny+Spacious +AC/walk to T Davis/Porter/Harvard",30719211,5,385.00,5,99,8
6702823,"Guest room @ Harvard/MIT Central Sq",25012699,1,91.00,5,96,6
6759024,"Modern Furnished 2-Bedroom Apt in Kendall Square",30283594,5,259.00,5,100,5
6761641,"Monthly Pet Friendly Cozy & Relaxed Near Radcliffe",3616967,5,350.00,3,80,13
6847242,"Smack dab between Harvard+Porter 2",35879509,1,90.00,5,100,7
6947733,"Smack dab between Harvard + Porter!",35879509,1,90.00,5,99,7
6949378,"Spacious 2BR | Kitchen |Work Desk | Kendall Square",30283594,5,329.00,4,89,5
7007117,"Room near Alewife Red Line T stop.",21745230,1,60.00,5,98,8
7031423,"Cambridge Cottage - Garden Room",34875728,1,61.00,5,97,12
7080737,"WALK EVERYWHERE Heart of Harvard-MIT Private Room",3668535,2,149.00,5,96,9
7094503,"Steps away from Harvard, Inman Sq",34862036,1,84.00,5,98,6
7135000,"Good Location, Lovely room in Cambridge",6839881,1,64.00,5,100,7
7401198,"Convenient & Cozy in Cambridgeport",90117,2,113.00,5,99,4
7490808,"Cozy Room 10min from MIT/Harvard",26994991,1,65.00,5,100,5
7508244,"PrivateRoom 10min MIT/Harvard !!!",26994991,1,65.00,5,100,5
7522561,"2Br Lux Apt near Fresh Pond/Harvard",21631889,4,239.00,5,97,7
7573492,"Harvard Cambridge Large room",6438360,1,34.00,5,95,7
7729257,"Big sunny artist's 1BR near Harvard",3402394,2,120.00,5,96,6
7774831,"Charming house in Cambridge C33W",12576232,1,50.00,5,95,11
7843046,"Your Own Private Bedroom, Bathroom AND Living Room",3917069,2,129.00,5,100,8
7872594,"Charming 1 bed loft-Walk to Harvard",40531643,2,114.00,5,98,6
7881324,"Bright Loft-Walk to Harvard",40531643,2,118.00,5,99,6
7883909,"Walk to Harvard- modern studio",40531643,2,142.00,5,97,6
7884541,"Stroll to Beautiful Harvard Square",40531643,1,90.00,5,99,6
7886699,"New Modern Studio-Walk to Harvard",40531643,1,86.00,5,100,6
8059830,"2Br Harvard/Fresh Pond Lux Apt",21631889,3,189.00,5,95,7
8064641,"Spacious+ Clean 1BR | Work Desk | Kendall Square",30283594,3,163.00,5,100,5
8100480,"Mid-Cambridge Apt in Great location",16907229,2,109.00,5,97,6
8129338,"7 minute walk to Boston & subway",42927628,1,76.00,5,97,5
8151702,"Top flr lux apt near MIT/Harvard",21631889,5,261.00,5,95,11
8308492,"4BR+3BA: MIT/Harvard/Fenway Park/Longwood Med/BU",17476640,4,243.00,5,92,4
8308744,"Private room and bath, walk to Harvard & MIT",43805765,1,95.00,5,99,4
8703760,"Historic, Sunny & Updated By Harvard Square!",23983523,1,50.00,5,92,6
8758789,"Perfect  Location between Harvard and MIT.",22020193,4,213.00,4,88,11
8866753,"Lovely room: walk to  Harvard Square with parking",33317063,1,85.00,5,98,6
8882029,"Convenient private Cambridge apt 1",9575352,1,28.00,0,0,11
8984099,"Convenient private Cambridge apt 2",9575352,1,28.00,0,0,11
8988749,"Private bedroom/office in Cambridge",44173387,2,110.00,5,98,4
9300963,"Tufts, MIT, Harvard, Davis & Porter Sq. Cambridge!",21103602,2,150.00,5,100,8
9341968,"1BR duplex, walking distance to Harvard Sq.",33963271,2,130.00,5,94,7
9371115,"ENJOY CAMBRIDGE THIS SUMMER AND BEYOND. SLEEPS 8+",42617851,5,528.00,4,90,1
9729190,"A Room at the Top-separate entrance, private bath",2158200,2,125.00,5,97,7
9790965,"Cambridge Bed and Bath",50462187,1,91.00,5,97,7
9938323,"One Bedroom Between Harvard & MIT (1562)",51079261,3,181.00,5,96,4
9940720,"One Bedroom Short Walk to Harvard (RM 10)",51079261,4,208.00,5,95,6
10041951,"Central Square Studio w Balcony",5331227,1,75.00,5,100,6
10052642,"Lux Furnished 1-Bedroom Cambridge Apartment!",30283594,3,199.00,5,100,5
10052826,"Furnished LUX 1-Bedroom Cambridge Apartment!",30283594,3,199.00,4,90,5
10066136,"Spacious Kendall Square 1BR | Kitchen+W/D| by GLS",30283594,3,163.00,5,95,5
10066362,"Clean+Furnished 1BR | Work Desk | Kendall Square",30283594,3,156.00,5,100,5
